m,40000,8192,69778944,gpt2 d768 L8 H12 seq256 b8x4 vocab16000
t,0,9.70892,3e-07,3.28086,4111,1726,4.1
t,1,9.708,6e-07,3.28805,3936,1729,8.0
t,2,9.70128,9e-07,3.35992,3608,1730,11.7
t,3,9.68743,1.2e-06,3.19446,3612,1730,15.3
t,4,9.67229,1.5e-06,3.33047,3900,1731,19.2
t,5,9.65216,1.8e-06,3.33701,3543,1731,22.7
t,6,9.64098,2.1e-06,3.3175,4874,1730,27.6
t,7,9.61738,2.4e-06,3.22368,3561,1731,31.1
t,8,9.59852,2.7e-06,3.24285,3536,1731,34.7
t,9,9.57876,3e-06,3.11644,3555,1732,38.2
t,10,9.54851,3.3e-06,3.08915,3562,1732,41.8
t,11,9.53084,3.6e-06,3.01349,3582,1733,45.4
t,12,9.50452,3.9e-06,2.81802,3658,1733,49.0
t,13,9.45771,4.2e-06,2.89918,3566,1734,52.6
t,14,9.4357,4.5e-06,2.843,3644,1734,56.3
t,15,9.39471,4.8e-06,2.87164,3874,1736,60.1
t,16,9.3719,5.1e-06,2.72393,3950,1737,64.1
t,17,9.34976,5.4e-06,2.64867,3954,1737,68.0
t,18,9.31402,5.7e-06,2.66743,3947,1738,72.0
t,19,9.29941,6e-06,2.51159,3630,1739,75.6
t,20,9.2708,6.3e-06,2.54133,3545,1739,79.2
t,21,9.24712,6.6e-06,2.55609,3569,1740,82.7
t,22,9.23003,6.9e-06,2.45737,3564,1740,86.3
t,23,9.20559,7.2e-06,2.42402,3571,1741,89.9
t,24,9.19825,7.5e-06,2.40984,3589,1741,93.5
t,25,9.15216,7.8e-06,2.4391,3603,1742,97.1
t,26,9.15503,8.1e-06,2.37,3531,1742,100.6
t,27,9.12614,8.4e-06,2.38513,3611,1743,104.2
t,28,9.10916,8.7e-06,2.39467,3589,1743,107.8
t,29,9.08675,9e-06,2.39955,3594,1744,111.4
t,30,9.06269,9.3e-06,2.42715,3558,1744,114.9
t,31,9.04388,9.6e-06,2.41134,3529,1745,118.5
t,32,9.04673,9.9e-06,2.34379,3530,1745,122.0
t,33,9.01783,1.02e-05,2.3532,3456,1746,125.5
t,34,8.97137,1.05e-05,2.48677,3539,1746,129.0
t,35,8.95494,1.08e-05,2.46788,3560,1747,132.6
t,36,8.97428,1.11e-05,2.3406,3550,1747,136.1
t,37,8.95107,1.14e-05,2.34182,3492,1748,139.6
t,38,8.90925,1.17e-05,2.40302,3543,1748,143.1
t,39,8.90228,1.2e-05,2.44459,3554,1749,146.7
t,40,8.90831,1.23e-05,2.35419,3459,1749,150.2
t,41,8.8721,1.26e-05,2.40531,3463,1750,153.6
t,42,8.8975,1.29e-05,2.29385,3565,1750,157.2
t,43,8.8557,1.32e-05,2.39627,3544,1751,160.7
t,44,8.80981,1.35e-05,2.45484,3437,1751,164.2
t,45,8.82131,1.38e-05,2.38436,3479,1752,167.7
t,46,8.78187,1.41e-05,2.44427,3616,1752,171.3
t,47,8.76112,1.44e-05,2.46442,3488,1752,174.8
t,48,8.75168,1.47e-05,2.4794,3608,1753,178.4
t,49,8.78005,1.5e-05,2.31736,3516,1753,181.9
t,50,8.73371,1.53e-05,2.42276,3753,1742,185.6
t,51,8.7125,1.56e-05,2.44877,3528,1754,189.2
t,52,8.70779,1.59e-05,2.41343,3600,1755,192.8
t,53,8.71493,1.62e-05,2.33723,4386,1755,197.2
